rank,city,region,postal_code,population
667,St. Joseph,MO,64503,73256
668,Tamarac,FL,33321,73019
669,Rogers,AR,72758,72981
670,Pocatello,ID,83209,72963
671,Caguas,PR,00725,72922
672,Morristown,TN,37813,72890
673,Altoona,PA,16601,72876
674,San Marcos,TX,78666,72811
675,Jackson,TN,38305,72781
676,Ankeny,IA,50023,72615
677,Glen Burnie,MD,21060,72590
678,Bristol,TN,37620,72565
679,Blaine,MN,55014,72488
680,Lake Elsinore,CA,92570,72461
681,Maricopa,AZ,85138,72459
682,Mount Vernon,NY,10552,72427
683,Framingham,MA,01701,72399
684,Michigan City,IN,46360,72294
685,Casas Adobes,AZ,85704,72059
686,Cleveland,TN,37312,72049
687,Janesville,WI,53545,71973
688,Queen Creek,AZ,85142,71867
689,Wilmington,DE,19802,71727
690,Centreville,VA,20120,71706
691,Bayonne,NJ,07002,71553
692,Sumter,SC,29154,71541
693,St. Charles,MO,63301,71508
694,Sherman,TX,75092,71496
695,Camden,NJ,08104,71496
696,Longview,WA,98632,71347
697,Waukesha,WI,53186,71233
698,Maple Grove,MN,55369,71173
699,West Des Moines,IA,50265,71083
700,Dale City,VA,22193,71016
701,Tulare,CA,93274,70945
702,Dublin,CA,94568,70803
703,North Richland Hills,TX,76180,70780
704,Eastvale,CA,92880,70633
705,Apex,NC,27502,70630
706,Guaynabo,PR,00971,70599
707,Hammond,LA,70402,70502
708,Blacksburg,VA,24061,70313
709,Baldwin Park,CA,91706,70138
710,East Orange,NJ,07018,70090
711,Walnut Creek,CA,94597,70088
712,Passaic,NJ,07055,70002
713,Gaithersburg,MD,20878,69825
714,Porterville,CA,93257,69819
715,Dubuque,IA,52002,69698
716,Mount Vernon,WA,98274,69561
717,Bethesda,MD,20892,69397
718,Redondo Beach,CA,90278,69291
719,Corvallis,OR,97333,69209
720,Glens Falls,NY,12801,69209
721,Watsonville,CA,95076,69089
722,Fairbanks,AK,99701,68976
723,Fajardo,PR,00740,68857
724,Schenectady,NY,12305,68847
725,Brunswick,GA,31520,68845
