rank,gender,name,count,frequency
436,m,Ulf,27515,1:3514
437,f,Natalie,27333,1:3537
438,f,Dora,27332,1:3537
439,f,Edda,27067,1:3572
440,f,Elsa,27034,1:3576
441,m,Nikolaus,26982,1:3583
442,f,Eveline,26879,1:3597
443,f,Hiltrud,26723,1:3618
444,f,Hermine,26666,1:3626
445,m,Raimund,26665,1:3626
446,f,Mandy,26453,1:3655
447,m,Adam,26350,1:3669
448,m,Dominik,26080,1:3707
449,f,Lotte,26058,1:3710
450,f,Helma,25981,1:3721
451,f,Alice,25958,1:3724
452,f,Margarethe,25726,1:3758
453,f,Ilka,25530,1:3787
454,m,Mehmet,25093,1:3853
455,m,Ronny,25073,1:3856
456,f,Friederike,24786,1:3901
457,m,Lorenz,24342,1:3972
458,f,Esther,24128,1:4007
459,m,Detlev,24077,1:4015
460,f,Viola,23969,1:4033
461,f,Natalia,23909,1:4044
462,m,Alex,23704,1:4079
463,f,Karen,23381,1:4135
464,f,Annelies,23377,1:4136
465,f,Edeltraut,23331,1:4144
466,f,Karina,23097,1:4186
467,f,Irmtraud,23041,1:4196
468,f,Annerose,22939,1:4215
469,m,Sen,22886,1:4224
470,f,Cordula,22770,1:4246
471,m,Nils,22590,1:4280
472,f,Lena,21801,1:4435
473,f,Janine,21771,1:4441
474,f,Rosi,21717,1:4452
475,m,Fabian,21662,1:4463
476,f,Caroline,21444,1:4508
477,m,Volkmar,21437,1:4510
478,f,Carina,21430,1:4511
479,m,Gerold,21359,1:4526
480,f,Tamara,21314,1:4536
481,m,Oswald,21290,1:4541
482,m,Jörn,21253,1:4549
483,f,Lina,21226,1:4555
484,m,Benno,21134,1:4575
485,f,Susann,21129,1:4576
486,f,Annelie,21126,1:4576
487,m,Christof,21081,1:4586
488,f,Jacqueline,21060,1:4591
489,f,Laura,20805,1:4647
490,f,Sophie,20803,1:4647
491,f,Evelin,20756,1:4658
492,m,Elli,20738,1:4662
493,f,Grete,20560,1:4702
494,f,Lucia,20510,1:4714
495,m,Toni,20452,1:4727
496,m,Sergej,20424,1:4734
497,m,Mirko,20419,1:4735
498,m,Antonio,20402,1:4739
499,m,Engelbert,20385,1:4743
500,f,Lilli,20263,1:4771
501,m,Hans-Jörg,20247,1:4775
502,m,Maximilian,20180,1:4791
503,m,Christopher,20055,1:4821
504,m,Marko,19786,1:4886
505,m,Heinz-Dieter,19667,1:4916
506,f,Vanessa,19638,1:4923
507,m,Xaver,19626,1:4926
508,f,Annika,19593,1:4934
509,f,Emmi,19389,1:4986
